status,term,file,line,context,evidence_required,evidence_found,disposition
PASS,ASIC signoff,AUDIT_REPORT.md,93,"The paper should keep the power/energy claim narrow. McPAT and Vivado evidence are proxy evidence, and metadata-toggle bounds are pJ/access sensitivity checks, not ASIC signoff.",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,silicon-proven,README.md,11,"This package does not support silicon-proven, ASIC/foundry signoff, measured",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,README.md,11,"This package does not support silicon-proven, ASIC/foundry signoff, measured",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,README.md,12,"silicon power, production ARM/OoO integration, state-of-the-art silicon",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,production ARM,README.md,85,"production ARM/OoO integration, generic Yosys is not mapped timing, and Vivado",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,ASIC signoff,README.md,86,`report_power` is tool-estimated FPGA power rather than silicon or ASIC signoff,asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,README.md,94,"post-route ASIC signoff, silicon, production ARM/OoO, or top-tier",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,README.md,94,"post-route ASIC signoff, silicon, production ARM/OoO, or top-tier",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,silicon-proven,REPRODUCIBILITY_STATUS.md,11,"It does not support silicon-proven status, ASIC/foundry signoff, measured",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,REPRODUCIBILITY_STATUS.md,11,"It does not support silicon-proven status, ASIC/foundry signoff, measured",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,REPRODUCIBILITY_STATUS.md,12,"silicon power, production ARM/OoO integration, state-of-the-art silicon",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,production ARM,REPRODUCIBILITY_STATUS.md,57,overhead. PicoRV32 tiny-SoC full-core rows are not production ARM/OoO,production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,measured power,REPRODUCIBILITY_STATUS.md,58,"integration, ASIC timing, silicon, or measured power.",power_report_index.csv measured_silicon PASS row with positive power_mw and existing report,"no measured_silicon PASS row with silicon_measured=yes, positive power_mw, and existing report",qualified blocker/limitation wording
PASS,ASIC signoff,REPRODUCIBILITY_STATUS.md,72,"tool estimates, not foundry signoff or silicon measurement.",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,measured silicon,REPRODUCIBILITY_STATUS.md,74,not measured silicon or ASIC signoff power.,fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,REPRODUCIBILITY_STATUS.md,74,not measured silicon or ASIC signoff power.,asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,measured silicon,research/ARTIFACT_MAP.md,13,"Evidence used by the paper and dashboard comes from generated CSVs and explicit logs. Gem5 rows are promoted only from public tracked summaries that pass `gem5_validation.csv`: a no-prefetch baseline, a COPPER-family row, matching checksums, clean return codes, and positive tick counts; `gem5_statistical_summary.csv` is derived only from those promoted rows and marks single-sample statistics explicitly. The package includes the tracked `gem5_arm_ubuntu_fs_*/*_summary.csv` input files used by that validation ledger. `gem5_raw_rerun_manifest.csv` records local raw full-system rows with retained stats and terminal logs for the `cachesvc_codex_raw_smoke`, `zlib_codex_raw_zlib_tiny`, `zlib_codex_raw_zlib_tiny_seed12`, and `zstd_zstd_*` summaries; `gem5_raw_rerun_statistical_summary.csv` reports raw-only repeated statistics where those rerun rows have multiple samples. The current gem5 rows span multiple ARM-system benchmark families, but only the rows in `gem5_raw_rerun_manifest.csv` have retained local raw stats/terminal provenance in this workspace; the rest remain validated summaries. OpenROAD post-route rows are tool estimates only when OpenROAD-flow-scripts emits real route/final reports and, for current-schema rows, indexed final DEF/SPEF/netlist/report JSON artifacts; ASIC Liberty rows are standard-cell tool estimates only when OpenSTA/OpenROAD emits a real report; Vivado report_power rows are FPGA tool estimates. `hardware_evidence_summary.csv` and `top_tier_gate_status.csv` merge those lane outputs and keep production-core and silicon/signoff gaps machine-readable. None should be called measured silicon or signoff power. Paper claims are controlled by `research/COPPER_CLAIM_LEDGER.md`.",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/CONFERENCE_READINESS_DASHBOARD.md,7,"Final scoped status from `research/results/top_tier_gate_status.csv`: SUBMISSION-READY. This dashboard certifies only constrained artifact/mechanism readiness. It supports CI-proven RTL simulation, raw gem5 full-system provenance where indexed, independent simulator evidence, accepted-core-wrapper or scoped PicoRV32 tiny-SoC full-core mapped FPGA PPA where generated PASS rows exist, and scoped tool-estimated/proxy power. It does not certify production ARM/OoO integration, measured silicon power, ASIC/foundry signoff, state-of-the-art performance, or broad production readiness.",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,research/CONFERENCE_READINESS_DASHBOARD.md,7,"Final scoped status from `research/results/top_tier_gate_status.csv`: SUBMISSION-READY. This dashboard certifies only constrained artifact/mechanism readiness. It supports CI-proven RTL simulation, raw gem5 full-system provenance where indexed, independent simulator evidence, accepted-core-wrapper or scoped PicoRV32 tiny-SoC full-core mapped FPGA PPA where generated PASS rows exist, and scoped tool-estimated/proxy power. It does not certify production ARM/OoO integration, measured silicon power, ASIC/foundry signoff, state-of-the-art performance, or broad production readiness.",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,measured power,research/CONFERENCE_READINESS_DASHBOARD.md,7,"Final scoped status from `research/results/top_tier_gate_status.csv`: SUBMISSION-READY. This dashboard certifies only constrained artifact/mechanism readiness. It supports CI-proven RTL simulation, raw gem5 full-system provenance where indexed, independent simulator evidence, accepted-core-wrapper or scoped PicoRV32 tiny-SoC full-core mapped FPGA PPA where generated PASS rows exist, and scoped tool-estimated/proxy power. It does not certify production ARM/OoO integration, measured silicon power, ASIC/foundry signoff, state-of-the-art performance, or broad production readiness.",power_report_index.csv measured_silicon PASS row with positive power_mw and existing report,"no measured_silicon PASS row with silicon_measured=yes, positive power_mw, and existing report",qualified blocker/limitation wording
PASS,production ARM,research/COPPER_CLAIM_LEDGER.md,3,"Allowed statuses: ALLOWED, PARTIAL, FORBIDDEN, TODO. The paper must not make stronger claims than this table supports. The intended submission claim is scoped mechanism reproducibility, not silicon, signoff, production ARM/OoO, broad dominance, or production readiness.",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_CLAIM_LEDGER.md,16,"| C10 | COPPER has scoped OpenROAD post-route, ASIC-Liberty/FPGA tool-power, and proxy/model energy results where indexed PASS. | ALLOWED | research/results/openroad_postroute_power.csv; research/results/openroad_postroute_power_overhead.csv; research/results/asic_power.csv; research/results/asic_power_overhead.csv; research/results/energy_proxy.csv; research/results/energy_summary.csv; research/results/power_report_index.csv; research/results/mapped_ppa.csv; research/results/copper_mcpat_sensitivity_20260618.csv | fpga_tool_estimate; proxy_activity; proxy_assumed_memory_energy | Vivado report_power is tool-estimated FPGA power for the mapped target; do not call it silicon measurement or ASIC signoff. |",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,research/COPPER_CLAIM_LEDGER.md,22,"| C16 | COPPER has matched PicoRV32 tiny-SoC full-core generic-synthesis overhead. | ALLOWED | research/results/fullcore_synthesis.csv; research/results/fullcore_synthesis_overhead.csv | full_core | Allowed only for the open-source PicoRV32 tiny-SoC full-core harness; not production ARM, OoO, silicon, or signoff evidence. |",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_CLAIM_LEDGER.md,23,"| C17 | COPPER has matched PicoRV32 tiny-SoC full-core mapped FPGA PPA. | ALLOWED | research/results/mapped_ppa.csv; research/results/mapped_ppa_overhead.csv | full_core mapped PPA | Allowed only when baseline and COPPER PicoRV32 tiny-SoC full-core rows PASS in the same mapped flow with real timing fields; not production ARM, ASIC signoff, or silicon PPA. |",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,research/COPPER_CLAIM_LEDGER.md,23,"| C17 | COPPER has matched PicoRV32 tiny-SoC full-core mapped FPGA PPA. | ALLOWED | research/results/mapped_ppa.csv; research/results/mapped_ppa_overhead.csv | full_core mapped PPA | Allowed only when baseline and COPPER PicoRV32 tiny-SoC full-core rows PASS in the same mapped flow with real timing fields; not production ARM, ASIC signoff, or silicon PPA. |",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,tapeout,research/COPPER_CLAIM_LEDGER.md,24,"| C18 | COPPER is silicon-proven, taped out, fabricated, or post-silicon validated. | FORBIDDEN | research/results/fabricated_silicon_manifest.csv | fabricated_silicon | Forbidden unless a manifest has PASS tapeout GDS/OAS, foundry/shuttle, fabrication lot, package/board, and bring-up artifacts with existing paths. |",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,tapeout,research/COPPER_CLAIM_LEDGER.md,24,"| C18 | COPPER is silicon-proven, taped out, fabricated, or post-silicon validated. | FORBIDDEN | research/results/fabricated_silicon_manifest.csv | fabricated_silicon | Forbidden unless a manifest has PASS tapeout GDS/OAS, foundry/shuttle, fabrication lot, package/board, and bring-up artifacts with existing paths. |",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,post-silicon,research/COPPER_CLAIM_LEDGER.md,24,"| C18 | COPPER is silicon-proven, taped out, fabricated, or post-silicon validated. | FORBIDDEN | research/results/fabricated_silicon_manifest.csv | fabricated_silicon | Forbidden unless a manifest has PASS tapeout GDS/OAS, foundry/shuttle, fabrication lot, package/board, and bring-up artifacts with existing paths. |",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,silicon-proven,research/COPPER_CLAIM_LEDGER.md,24,"| C18 | COPPER is silicon-proven, taped out, fabricated, or post-silicon validated. | FORBIDDEN | research/results/fabricated_silicon_manifest.csv | fabricated_silicon | Forbidden unless a manifest has PASS tapeout GDS/OAS, foundry/shuttle, fabrication lot, package/board, and bring-up artifacts with existing paths. |",fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_CLAIM_LEDGER.md,25,"| C19 | COPPER has ASIC or foundry signoff. | FORBIDDEN | research/results/asic_signoff_manifest.csv | asic_signoff | Forbidden unless timing, area, power, DRC, and LVS signoff-grade PASS artifacts exist. OpenROAD, ASIC-Liberty, and Vivado tool estimates are not foundry signoff. |",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_CLAIM_LEDGER.md,25,"| C19 | COPPER has ASIC or foundry signoff. | FORBIDDEN | research/results/asic_signoff_manifest.csv | asic_signoff | Forbidden unless timing, area, power, DRC, and LVS signoff-grade PASS artifacts exist. OpenROAD, ASIC-Liberty, and Vivado tool estimates are not foundry signoff. |",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,measured power,research/COPPER_CLAIM_LEDGER.md,26,"| C20 | COPPER has measured silicon power. | FORBIDDEN | research/results/power_report_index.csv | measured_silicon | Forbidden unless power_report_index.csv has a measured_silicon PASS row with silicon_measured=yes, positive power_mw, and an existing raw/report artifact. |",power_report_index.csv measured_silicon PASS row with positive power_mw and existing report,"no measured_silicon PASS row with silicon_measured=yes, positive power_mw, and existing report",qualified blocker/limitation wording
PASS,production ARM,research/COPPER_CLAIM_LEDGER.md,27,"| C21 | COPPER integrates with a production ARM or OoO full-system core. | FORBIDDEN | research/results/production_arm_integration.csv | production_arm_integration | Forbidden unless OoO, TLB, caches, coherence, interrupts, exceptions, and memory-system capabilities each have PASS integration artifacts. PicoRV32 tiny-SoC and gem5 prefetcher attachment do not satisfy this claim. |",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,measured silicon,research/COPPER_CLAIM_LEDGER.md,28,| C22 | COPPER has SOTA silicon or power-efficiency results. | FORBIDDEN | research/results/sota_silicon_comparison.csv | sota_silicon_comparison | Forbidden unless COPPER and prior-work rows are compared on the same ASIC signoff or measured-silicon basis with a normalized metric and source artifact. |,fabricated_silicon_manifest.csv PASS tapeout/fab/package/bring-up artifacts,missing research/results/fabricated_silicon_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_CLAIM_LEDGER.md,28,| C22 | COPPER has SOTA silicon or power-efficiency results. | FORBIDDEN | research/results/sota_silicon_comparison.csv | sota_silicon_comparison | Forbidden unless COPPER and prior-work rows are compared on the same ASIC signoff or measured-silicon basis with a normalized metric and source artifact. |,asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_ENVIRONMENT_ARTIFACT_MANIFEST_20260619.md,49,- Vivado evidence is FPGA-oriented and should not be described as ASIC signoff.,asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_FINAL_OUTPUT.md,69,"A TCP process-server CLPD activity replay then drives the Vivado SAIF flow with the conservative SPP+COPPER slack counter mix from those four process-separated TCP points. The replay is unscaled at 268,494 operations: 5,293 proof commits, 39,024 allowed queries, 222,955 no-provenance blocks, and 1,222 fault/permission blocks. XSim completes with `errors=0`, and Vivado maps the SAIF into the routed 1K-entry CLPD with 226/611 nets matched (37%), reporting 0.083 W total, 0.014 W dynamic, 0.069 W static, medium confidence, and WNS 1.807 ns. This strengthens the TCP side-effect story beyond pJ/access accounting, while still remaining transaction-level FPGA replay rather than instruction-level full-system switching or ASIC signoff.",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_FINAL_OUTPUT.md,256,"| 15-checkpoint Vivado RTL power proxy | vectorless Vivado `report_power` over COPPER checkpoints | routed 64K CLPD: 0.479 W total, 0.344 W dynamic, 260 BRAM tiles, medium confidence | full LSQ/AMBA top: 0.118 W total synthesized low-confidence; PEB: 0.089 W total synthesized low-confidence | Direct RTL metadata power plausibility; not workload-SAIF or ASIC signoff. |",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_FINAL_OUTPUT.md,260,"| TCP process-server metadata-toggle bound | selected COPPER/slack rows from four process-separated TCP-netns libssl points | high scenario: 4.633 uJ COPPER, 6.818 uJ SPP+COPPER slack; max 0.1510% of matching DRAM op energy | 179,343 and 268,494 metadata events; 0 faults; 0 child failures | Bounds metadata side effects for the strongest TCP/TLS harness against matching gem5 DRAM counters; still pJ/access sensitivity accounting, not ASIC signoff. |",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_FINAL_OUTPUT.md,261,"| TCP process-server CLPD SAIF replay | SPP+COPPER slack counter mix from four process-separated TCP-netns libssl points | 0.083 W total, 0.014 W dynamic, WNS 1.807 ns | 268,494 unscaled replay ops, 37% net match, `errors=0` | Runs the strongest TCP/TLS counter mix through XSim and Vivado power; still transaction-level FPGA replay, not ASIC signoff. |",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,ASIC signoff,research/COPPER_FINAL_REVIEWER_REPORT.md,5,"Status: SUBMISSION-READY for a scoped artifact/mechanism submission according to `research/results/top_tier_gate_status.csv`. The strongest defensible framing is a reproducible hardware mechanism study. The paper can cite CI-proven RTL simulation, raw gem5 full-system provenance where retained, validated imported gem5 ARM-system summaries where PASS, independent simulator evidence, accepted-core-wrapper/scoped PicoRV32 tiny-SoC full-core FPGA mapped PPA where PASS, FPGA tool-estimated power, and proxy energy with caveats. It must not claim production ARM/OoO integration, measured silicon power, ASIC/foundry signoff, state-of-the-art efficiency, universal speedup, production readiness, or full silicon PPA.",asic_signoff_manifest.csv PASS timing/area/power/DRC/LVS signoff-grade artifacts,missing research/results/asic_signoff_manifest.csv,qualified blocker/limitation wording
PASS,production ARM,research/COPPER_FINAL_REVIEWER_REPORT.md,5,"Status: SUBMISSION-READY for a scoped artifact/mechanism submission according to `research/results/top_tier_gate_status.csv`. The strongest defensible framing is a reproducible hardware mechanism study. The paper can cite CI-proven RTL simulation, raw gem5 full-system provenance where retained, validated imported gem5 ARM-system summaries where PASS, independent simulator evidence, accepted-core-wrapper/scoped PicoRV32 tiny-SoC full-core FPGA mapped PPA where PASS, FPGA tool-estimated power, and proxy energy with caveats. It must not claim production ARM/OoO integration, measured silicon power, ASIC/foundry signoff, state-of-the-art efficiency, universal speedup, production readiness, or full silicon PPA.",production_arm_integration.csv PASS OoO/TLB/cache/coherence/interrupt/exception/memory-system artifacts,missing research/results/production_arm_integration.csv,qualified blocker/limitation wording
PASS,SOTA efficiency,research/COPPER_FINAL_REVIEWER_REPORT.md,5,"Status: SUBMISSION-READY for a scoped artifact/mechanism submission according to `research/results/top_tier_gate_status.csv`. The strongest defensible framing is a reproducible hardware mechanism study. The paper can cite CI-proven RTL simulation, raw gem5 full-system provenance where retained, validated imported gem5 ARM-system summaries where PASS, independent simulator evidence, accepted-core-wrapper/scoped PicoRV32 tiny-SoC full-core FPGA mapped PPA where PASS, FPGA tool-estimated power, and proxy energy with caveats. It must not claim production ARM/OoO integration, measured silicon power, ASIC/foundry signoff, state-of-the-art efficiency, universal speedup, production readiness, or full silicon PPA.",sota_silicon_comparison.csv comparable ASIC/signoff or silicon-measured normalized rows,missing research/results/sota_silicon_comparison.csv,qualified blocker/limitation wording
PASS,measured power,research/COPPER_FINAL_REVIEWER_REPORT.md,5,"Status: SUBMISSION-READY for a scoped artifact/mechanism submission according to `research/results/top_tier_gate_status.csv`. The strongest defensible framing is a reproducible hardware mechanism study. The paper can cite CI-proven RTL simulation, raw gem5 full-system provenance where retained, validated imported gem5 ARM-system summaries where PASS, independent simulator evidence, accepted-core-wrapper/scoped PicoRV32 tiny-SoC full-core FPGA mapped PPA where PASS, FPGA tool-estimated power, and proxy energy with caveats. It must not claim production ARM/OoO integration, measured silicon power, ASIC/foundry signoff, state-of-the-art efficiency, universal speedup, production readiness, or full silicon PPA.",power_report_index.csv measured_silicon PASS row with positive power_mw and existing report,"no measured_silicon PASS row with silicon_measured=yes, positive power_mw, and existing report",qualified blocker/limitation wording
